participant_id,group,E0,E_week24,E_week52,lambda_est,gamma_initial,gamma_week52,gamma_slope_per_week,K_est,circular_behavior_week24,circular_behavior_week52,replaced_by_week52
S3_00001,High_E_LT,0.7904,0.7064,0.6239,0.0412,0.0506,0.1,0.011261,0.3388,1,1,0
S3_00002,High_E_LT,0.8238,0.3289,0.1541,0.0335,0.0371,0.0,-0.029933,0.2681,1,0,0
S3_00003,High_E_LT,0.7893,0.6239,0.6692,0.0445,0.0432,0.1,0.005968,0.3257,0,1,0
S3_00004,Control_LT,0.6272,0.0978,0.0104,0.0714,0.0,0.0,-0.004589,0.3934,0,0,1
S3_00005,High_E_LT,0.8061,0.2819,0.0944,0.0454,0.0481,0.0,-0.050629,0.4167,1,0,0
S3_00006,Control_LT,0.613,0.0758,0.0424,0.0821,0.0,0.0,-0.000489,0.397,1,0,1
S3_00007,High_E_LT,0.7343,0.3528,0.1079,0.031,0.0357,0.0,-0.007329,0.4817,1,0,0
S3_00008,High_E_LT,0.6926,0.6337,0.6415,0.0472,0.0516,0.1,0.015545,0.3295,1,1,0
S3_00009,High_E_LT,0.8179,0.393,0.1729,0.032,0.0441,0.0,-0.005899,0.3427,1,1,0
S3_00010,High_E_LT,0.8895,0.4329,0.2375,0.0269,0.0363,0.0,-0.011688,0.2173,1,1,0
S3_00011,Control_LT,0.5464,0.0754,0.052,0.0623,0.0074,0.0,-0.014004,0.4226,0,0,0
S3_00012,Control_LT,0.3401,0.01,0.0177,0.1033,0.0112,0.0,-0.003917,0.2639,0,0,0
S3_00013,Control_LT,0.4126,0.0744,0.0575,0.0801,0.0072,0.0,-0.013196,0.3019,0,0,0
S3_00014,Control_LT,0.2752,0.01,0.01,0.0931,0.002,0.0,-0.018461,0.4375,0,0,0
S3_00015,Control_LT,0.3427,0.0441,0.0246,0.0783,0.0043,0.0,-0.007724,0.3014,0,0,0
S3_00016,High_E_LT,0.7218,0.3086,0.1184,0.0323,0.0485,0.0,-0.009764,0.3241,1,0,0
S3_00017,High_E_LT,0.7133,0.6714,0.664,0.0375,0.0322,0.1,0.008875,0.3914,1,1,0
S3_00018,High_E_LT,0.7796,0.2848,0.1351,0.0412,0.0582,0.0,-0.014498,0.4605,0,0,0
S3_00019,High_E_LT,0.7412,0.3269,0.1374,0.032,0.0361,0.0,-0.011562,0.3436,0,0,0
S3_00020,High_E_LT,0.5593,0.7212,0.7166,0.031,0.0566,0.1,0.050835,0.3243,1,0,0
S3_00021,High_E_LT,0.7612,0.7168,0.6831,0.0359,0.043,0.1,0.006441,0.2266,1,1,0
S3_00022,Control_LT,0.7299,0.0263,0.01,0.0882,0.0001,0.0,-0.032146,0.3017,0,0,0
S3_00023,Control_LT,0.5232,0.1928,0.034,0.0983,0.0008,0.1,0.006017,0.3892,0,0,1
S3_00024,Control_LT,0.6389,0.3426,0.2149,0.0805,0.0038,0.1,0.010701,0.4722,0,1,0
S3_00025,High_E_LT,0.7606,0.7237,0.7062,0.0299,0.0547,0.1,0.030397,0.4203,1,1,0
S3_00026,High_E_LT,0.8748,0.684,0.6629,0.0391,0.0399,0.1,0.004542,0.2792,1,1,0
S3_00027,Control_LT,0.5517,0.0678,0.01,0.0736,0.0052,0.0,-0.019491,0.2595,1,0,0
S3_00028,Control_LT,0.3815,0.0378,0.0137,0.1101,0.0048,0.0,-0.020815,0.3497,0,0,1
S3_00029,High_E_LT,0.7193,0.6067,0.5612,0.0507,0.0178,0.1,0.016889,0.4047,1,1,0
